numero_processo;data_distribuicao;codarea_acao;data_atendimento;cod_cliente;cod_usuario;cod_parte_adversa;valor_causa;observacoes;data_encerramento;inclusao;objeto_acao;destino;codprognostico;codassunto;codlocaltramite;uf;codcomarca;statusprocessual;grupo_processo;codigo_fase;data_contratacao;pedido;data_transitojulgado;data_sentenca;data_execucao;migracao;cod_fase_processo;numero_pasta;numero_cnj;data_ultima_visualizacao
1,23451E+17;04/12/2015 00:00;Direito Cível;;Fulano(a) 1292;301340;0;15000.0;;;26/11/2015 15:07;Indenização;Arquivo Morto;Procedência Provável;SPC;Juizado Especial Cível;MG;Ipatinga;Autor;Justiça Estadual;Instrução;26/11/2015 00:00;;;;;;;838.0;0012345-12.2024.1.12.0005;19/11/2020 11:16
0012345-12.2024.1.12.0006;;;;Fulano(a) 1042;347394;0;0.0;;;05/03/2018 11:37;;;;;;UF;;;;;;;;;;;;1410.0;;05/03/2018 11:37
0012345-12.2024.1.12.0007;;Direito do Consumidor;;Fulano(a) 1160;302720;0;1212.0;;;22/03/2017 11:27;Declaratória de Inexistência de Débito;Mesa Administração 01;Procedência Parcial Provável;Declaratória de Inexistência de Débito;Turma Recursal;MG;Ipatinga;Recorrente;Justiça Estadual;Instrução;08/08/2014 00:00;;;;;;;1133.0;;15/08/2017 12:06
0012345-12.2024.1.12.0008;05/05/2017 00:00;Direito do Trabalho;;Fulano(a) 995;301340;0;267224.2;;;07/02/2017 17:31;Reclamatória Trabalhista;Mesa Recepção;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;07/02/2017 00:00;;;;;;;1086.0;;10/11/2017 14:22
0012345-12.2024.1.12.0009;;;;Fulano(a) 1043;347394;0;0.0;;;05/03/2018 14:21;;;;;;UF;;;;;;;;;;;;1412.0;;05/03/2018 14:21
0012345-12.2024.1.12.0010;10/05/2018 00:00;Direito do Trabalho;;Fulano(a) 1043;301340;0;187538.59;O1;;05/03/2018 14:24;Reclamatória Trabalhista;Mesa Administração 02;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;05/03/2018 00:00;;;;;;;1413.0;;28/06/2018 18:19
0012345-12.2024.1.12.0011;;;;Fulano(a) 926;301340;0;0.0;;;30/08/2017 14:44;;;;;;;;;;;;;;;;;;1274.0;;
0012345-12.2024.1.12.0012;;;;Fulano(a) 260;347394;0;0.0;;;17/04/2019 10:09;;;;;;UF;;;;;;;;;;;;1795.0;;17/04/2019 10:09
0012345-12.2024.1.12.0013;20/09/2016 00:00;Direito do Trabalho;;Fulano(a) 783;301340;0;34613.12;;;06/10/2016 12:03;Reclamatória Trabalhista;Arquivo Morto;Improcedência Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamada;Justiça do Trabalho;Arquivado;06/10/2016 00:00;;;;;;;1016.0;;18/11/2020 22:16
0012345-12.2024.1.12.0014;;;;Fulano(a) 697;347394;0;0.0;;;29/08/2017 16:06;;;;;;UF;;;;;;;;;;;;1269.0;;29/08/2017 16:06
0012345-12.2024.1.12.0015;;;;Fulano(a) 1476;347394;0;0.0;;;05/03/2018 17:39;;;;;;UF;;;;;;;;;;;;1414.0;;05/03/2018 17:39
0012345-12.2024.1.12.0016;;Direito Previdenciário;;Fulano(a) 775;301340;0;0.0;O2;;18/02/2016 14:38;Aposentadoria por Tempo de Contribuição;;Procedência Provável;Aposentadoria por Tempo de Contribuição;Instituto Nacional de Seguro Social;MG;Ipatinga;Requerente;Administrativo;;18/02/2016 00:00;Aposentadoria por Tempo de Contribuição;;;;;;896.0;;07/02/2020 10:23
0012345-12.2024.1.12.0017;08/12/2015 00:00;Direito do Trabalho;;Fulano(a) 1505;301340;0;291502.6;;;18/08/2015 10:07;Reclamatória Trabalhista;Mesa Administração 01;Procedência Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;18/08/2015 00:00;;;;;;;761.0;;07/05/2020 14:14
0012345-12.2024.1.12.0018;25/03/2015 00:00;Direito Previdenciário;;Fulano(a) 568;301340;0;52680.0;PEDIMOS DESISTENCIA DESTA AÇÃO DEVIDO CONCESSÃO ADMINISTRATIVA DE BENEFICIO MAIS BENEFICO.;;15/09/2014 18:30;Aposentadoria;Arquivo Morto;Procedência Provável;Aposentadoria por Tempo de Contribuição;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Arquivado;15/09/2014 00:00;;;;;;;580.0;;13/12/2019 09:55
0012345-12.2024.1.12.0019;30/10/2014 00:00;Direito Cível;;Fulano(a) 942;301340;0;25140.12;;;07/08/2014 09:26;Indenização;;Procedência Parcial Provável;Indenização;Juizado Especial Cível;MG;Ipatinga;Autor;Justiça Estadual;Instrução;07/08/2014 00:00;;;;;;;554.0;;18/11/2020 18:36
0012345-12.2024.1.12.0020;14/07/2016 00:00;Direito Cível;;Fulano(a) 117;301340;0;0.0;;;14/07/2016 17:23;;Mesa Administração 01;Procedência Provável;;;;;Autor;Justiça Estadual;;;;;;;;;962.0;;29/07/2017 13:43
0012345-12.2024.1.12.0021;;;;Fulano(a) 759;301340;0;0.0;PENDÊNCIAS: COMPROVANTE DE RESIDENCIA, PPP ATUALIZADO CONSTANDO PERÍODO DE DE 01/06/89 A 31/05/95;;17/10/2016 11:12;;;;;;;;;Justiça do Trabalho;;17/10/2016 00:00;REVISÃO DE PPP;;;;;;1023.0;;27/07/2017 09:47
0012345-12.2024.1.12.0022;27/09/2013 00:00;Direito do Trabalho;;Fulano(a) 1071;301340;0;33082.4;;;03/04/2013 17:58;Reclamatória Trabalhista;;Procedência Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;;03/04/2013 00:00;;;;;;;219.0;;18/11/2020 18:54
0012345-12.2024.1.12.0023;;;;Fulano(a) 1040;347394;0;0.0;;;07/03/2018 18:29;;;;;;UF;;;;;;;;;;;;1417.0;;07/03/2018 18:29
0012345-12.2024.1.12.0024;27/05/2014 00:00;Direito Previdenciário;;Fulano(a) 702;301340;0;0.0;PEDIR INSALUBRIDADE PELA ATIVIDADE;;29/04/2013 18:14;Aposentadoria;;Procedência Provável;Aposentadoria;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;;29/04/2013 00:00;APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO (SB-42);;;;;;224.0;;12/03/2021 11:52
Aguardando numeração;;;;Fulano(a) 796;347394;0;0.0;;;05/04/2018 09:15;;;;;;UF;;;;;;;;;;;;1443.0;;05/04/2018 09:15
INDENIZATORIA;;;;Fulano(a) 1327;301340;0;0.0;;;05/10/2017 15:04;;;;;;;;;Justiça Estadual;;05/10/2017 00:00;NEGATIVACAO INDENIVIDA;;;;;;1306.0;;05/10/2017 15:05
0012345-12.2024.1.12.0025;27/09/2013 00:00;Direito Previdenciário;;Fulano(a) 871;301340;0;0.0;;;02/10/2013 14:47;Revisional de benefício Previdenciário;;Procedência Provável;Revisão pelo Teto;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;;02/09/2011 00:00;REVISÃO PELO TETO;;;;;;0.0;;20/10/2017 16:30
Aguardando numeração;;;;Fulano(a) 898;347394;0;0.0;;;31/07/2017 13:26;;;;;;UF;;;;;;;;;;;;1242.0;;31/07/2017 13:26
Aguardando numeração;;;;Fulano(a) 1047;347394;0;0.0;;;12/03/2018 10:22;;;;;;UF;;;;;;;;;;;;1419.0;;12/03/2018 10:22
INDENIZAÇÃO - DEVOLUÇÃO CHEQUE MOTIVO 22;;;;Fulano(a) 1415;301340;0;0.0;;;15/05/2018 13:27;;;;;;;;;Justiça Estadual;;15/05/2018 00:00;INDENIZAÇÃO - DEVOLUÇÃO CHEQUE MOTIVO 22;;;;;;1472.0;;24/10/2019 14:25
0012345-12.2024.1.12.0026;13/10/2014 00:00;Direito Cível;;Fulano(a) 797;301340;0;20000.0;;;01/09/2014 14:29;Obrigação de Pagar;Arquivo Morto;Procedência Parcial Provável;Seguro de Vida e/ou Acidente;vara cível;MG;Ipatinga;Autor;Justiça Estadual;Instrução;01/09/2014 00:00;;;;;;;572.0;;18/11/2020 21:26
Aguardando numeração;;;;Fulano(a) 1115;347394;0;0.0;;;18/07/2018 10:45;;;;;;UF;;;;;;;;;;;;1547.0;;18/07/2018 10:45
Aguardando numeração;;;;Fulano(a) 7;301340;0;0.0;;;01/08/2017 15:51;;;;;;UF;;;;;;;;;;;;1244.0;;01/08/2017 16:10
Aguardando numeração;;;;Fulano(a) 161;347394;0;0.0;;;11/02/2015 09:22;;;;;;UF;;;;;;;;;;;;664.0;;01/08/2017 18:44
Aguardando numeração;;;;Fulano(a) 1752;347394;0;0.0;;;25/01/2019 13:26;;;;;;UF;;;;;;;;;;;;1696.0;;25/01/2019 13:26
Aguardando numeração;;;;Fulano(a) 1049;347394;0;0.0;;;09/03/2018 17:18;;;;;;UF;;;;;;;;;;;;1418.0;;09/03/2018 17:18
0012345-12.2024.1.12.0027;10/11/2017 00:00;Direito do Trabalho;;Fulano(a) 1090;559945;0;50000.0;CLIENTE FOI DEMITIDO APOS DISTRIBUIÇÃO DA RECLAMATÓRIA TRABALHISTA. PEDIR REINTEGRAÇÃO AO TRABALHO... AJUIZAR NOVA AÇÃO COM DISTRIBUIÇÃO POR PREVENÇÃO AO JUÍZO QUE ESTÁ A RECLAMATÓRIA;;09/11/2017 16:00;Reclamatória Trabalhista;Mesa Administração 02;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;09/11/2017 00:00;REINTEGRAÇÃO AO TRABALHO;;;;;;1346.0;;23/08/2021 08:51
0012345-12.2024.1.12.0028;;;;Fulano(a) 412;347394;0;0.0;;;11/10/2017 11:34;;;;;;UF;;;;;;;;;;;;1308.0;;11/10/2017 11:34
0012345-12.2024.1.12.0029;;;;Fulano(a) 1070;347394;0;0.0;;;11/10/2017 11:50;;;;;;UF;;;;;;;;;;;;1309.0;;11/10/2017 11:50
0012345-12.2024.1.12.0030;03/08/2011 00:00;Direito Cível;;Fulano(a) 987;302720;0;42238.99;;;13/12/2012 11:23;Reclamatória Trabalhista;;;Reclamatória Trabalhista;vara cível;MG;Timóteo;Autor;Justiça Estadual;Conciliação;03/06/2011 00:00;;;;;;;179.0;;24/10/2017 16:58
0012345-12.2024.1.12.0031;;Direito Previdenciário;;Fulano(a) 568;301340;0;0.0;AVERBAR NB ANTERIOR COM NOVOS PPPs A PARTIR DE DEZEMBRO/2017;;19/07/2017 19:06;Aposentadoria por Tempo de Contribuição;Arquivo Morto;Procedência Provável;Aposentadoria por Tempo de Contribuição;Instituto Nacional de Seguro Social;MG;Ipatinga;Requerente;Extrajudicial;Arquivado;;APOSENTADORIA 85/95;;;;;;1235.0;;04/11/2019 16:56
TRABALHISTA / PLANO DE SAUDE;;;;Fulano(a) 1415;301340;0;0.0;;;10/10/2015 14:47;;;;;;;;;;;;;;;;;;809.0;;
0012345-12.2024.1.12.0032;19/09/2017 00:00;Direito Cível;;Fulano(a) 1009;301340;0;1000.0;;;11/01/2017 13:50;Acao de Alimentos c/c Guarda Unilateral;Arquivo Morto;Procedência Provável;Acao de Alimentos c/c Guarda Unilateral;Vara da Família e Sucessões;MG;Ipatinga;Autor;Justiça Estadual;Arquivado;11/01/2017 00:00;AÇÃO DE GUARDA C/C ALIMENTOS;;;;;;1066.0;;24/11/2021 17:06
0012345-12.2024.1.12.0033;;Direito do Consumidor;;Fulano(a) 1447;301340;0;0.0;;;06/05/2015 11:23;Indenização;;Improcedência Provável;Indenização;Turma Recursal;MG;Ipatinga;Recorrido;Justiça Estadual;Apelação;;;;;;;;0.0;;
0012345-12.2024.1.12.0034;13/07/2020 00:00;Direito Família;;Fulano(a) 1009;559945;0;3000.0;;;03/09/2019 15:58;Ação de Alimentos;Mesa Recepção;Procedência Parcial Provável;Alimentos;Vara da Família e Sucessões;MG;Ipatinga;Requerente;Justiça Estadual;Conciliação;;REVISIONAL/COMPLEMENTAÇÃO DA PENSAO ALIEMENTICIA;;;;;;1977.0;;24/11/2021 17:06
0012345-12.2024.1.12.0035;;;;Fulano(a) 1636;347394;0;0.0;;;15/04/2021 17:14;;;;;;UF;;;;;;;;;;;;2471.0;;15/04/2021 17:14
0012345-12.2024.1.12.0036;13/05/2020 00:00;Direito do Trabalho;;Fulano(a) 1191;301340;0;20000.0;;;07/11/2018 15:29;Reclamatória Trabalhista;Arquivo Morto;Procedência Provável;Retificação de PPP;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Arquivado;07/11/2018 00:00;REVISÃO DE PPP - FSFX;;;;;;1654.0;;12/11/2021 14:39
0012345-12.2024.1.12.0037;;;;Fulano(a) 573;302720;0;0.0;;;01/09/2015 17:36;;;;;;UF;;;;;;;;;;;;772.0;;
0012345-12.2024.1.12.0038;;;;Fulano(a) 820;301340;0;0.0;;;08/02/2017 18:37;;;;;;UF;;;;;;;;;;;;1088.0;;08/02/2017 18:37
0012345-12.2024.1.12.0039;18/10/2016 00:00;Direito Cível;;Fulano(a) 442;301340;0;44224.34;;;26/01/2016 17:44;Prestação de Contas;Mesa Administração 01;Procedência Parcial Provável;Prestação de Contas;vara cível;MG;Ipatinga;Autor;Justiça Estadual;Instrução;26/01/2016 00:00;AÇÃO DE EXIGIR CONTAS;;;;;;877.0;;08/11/2021 07:46
CONVERSÃO DE APOSENTADORIA (PROPORCIONAL PARA ESPECIAL);;Direito Previdenciário;;Fulano(a) 390;301340;0;0.0;;;10/06/2020 10:51;Ação Previdenciaria;;Procedência Provável;Conversao de beneficio;;;;Autor;Justiça Federal;;10/06/2020 00:00;CONVERSÃO DE APOSENTADORIA (PROPORCIONAL PARA ESPECIAL);;;;;;2233.0;;16/01/2022 17:04
0012345-12.2024.1.12.0040;;;;Fulano(a) 1190;347394;0;0.0;;;12/09/2018 14:29;;;;;;UF;;;;;;;;;;;;1605.0;;12/09/2018 14:30
0012345-12.2024.1.12.0041;07/07/2014 00:00;Direito Previdenciário;;Fulano(a) 1203;301340;0;0.0;;;19/06/2014 08:56;Cobrança;;Procedência Provável;Cobrança de Retroativo do INSS;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;;19/06/2014 00:00;Retroativo de benefício deferido administrativamente;;;;;;521.0;;18/01/2019 16:29
0012345-12.2024.1.12.0042;;;;Fulano(a) 717;301340;0;0.0;;;22/06/2016 16:05;;;;;;;;;Justiça do Trabalho;;22/06/2016 00:00;;;;;;;951.0;;22/06/2016 16:05
0012345-12.2024.1.12.0043;;;;Fulano(a) 563;347394;0;0.0;;;28/06/2017 13:29;;;;;;UF;;;;;;;;;;;;1209.0;;28/06/2017 13:29
0012345-12.2024.1.12.0044;;Direito do Trabalho;;Fulano(a) 187;559945;0;0.0;;;08/06/2019 22:32;Reclamatória Trabalhista;;Procedência Provável;Verbas Trabalhistas Diversas;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Execução;01/02/2010 00:00;VERBAS DA RESCISÃO CONTRATUAL;;;;;;1854.0;;11/02/2022 09:34
0012345-12.2024.1.12.0045;;;;Fulano(a) 1050;347394;0;0.0;;;13/03/2018 10:15;;;;;;UF;;;;;;;;;;;;1421.0;;13/03/2018 10:15
0012345-12.2024.1.12.0046;04/12/2016 00:00;Direito do Trabalho;;Fulano(a) 767;301340;0;326815.0;;;26/10/2016 16:06;Reclamatória Trabalhista;Mesa Administração 01;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;26/10/2016 00:00;;;;;;;1030.0;;21/06/2021 09:54
0012345-12.2024.1.12.0047;;;;Fulano(a) 345;301340;0;0.0;;;09/03/2016 09:45;;;;;;;;;Justiça do Trabalho;;09/03/2016 00:00;;;;;;;909.0;;03/04/2020 12:33
0012345-12.2024.1.12.0048;;Direito Cível;;Fulano(a) 1762;100097650;0;3904.28;;;21/09/2021 09:15;Cumprimento de sentença;;Procedência Parcial Provável;Cumprimento de sentença;Juizado Especial Cível;MG;Ipatinga;Exequente;Justiça Estadual;Execução;;;;;;;;2608.0;;10/02/2022 13:55
0012345-12.2024.1.12.0049;26/02/2021 00:00;Direito Previdenciário;;Fulano(a) 1560;301340;0;91214.0;- CLIENTE ACEITOU A APOSENTADORIA DE 65% COM A RMI QUE DESSE;;24/10/2018 11:17;Aposentadoria;Mesa Recepção;Procedência Parcial Provável;Aposentadoria por Tempo de Contribuição;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Conciliação;24/10/2018 00:00;APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO;;;;;;1643.0;;10/02/2022 13:31
0012345-12.2024.1.12.0050;08/02/2021 00:00;Direito Previdenciário;;Fulano(a) 639;301340;0;18081.11;;;01/08/2019 10:45;Cobrança;Mesa Recepção;Procedência Parcial Provável;Cobrança;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;Conciliação;;COBRANÇA - DER a DIA ANTERIOR A MS;;;;;;1917.0;;01/02/2022 14:09
0012345-12.2024.1.12.0051;;;;Fulano(a) 1065;347394;0;0.0;;;28/01/2019 11:39;;;;;;UF;;;;;;;;;;;;1697.0;;28/01/2019 11:39
0012345-12.2024.1.12.0052;25/10/2013 00:00;Direito do Trabalho;;Fulano(a) 719;301340;0;540000.0;;;28/10/2013 11:05;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Conciliação;08/08/2013 00:00;;;;;;;337.0;;04/04/2017 21:20
0012345-12.2024.1.12.0053;;;;Fulano(a) 1152;347394;0;0.0;;;05/09/2018 15:21;;;;;;UF;;;;;;;;;;;;1601.0;;05/09/2018 15:21
0012345-12.2024.1.12.0054;08/05/2017 00:00;Direito Previdenciário;;Fulano(a) 1238;301340;0;80000.0;;;01/12/2016 16:38;Aposentadoria;Mesa Administração 01;Procedência Provável;Aposentadoria Especial;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;01/12/2016 00:00;APOSENTADORIA ESPECIAL;;;;;;1048.0;;06/02/2022 16:15
0012345-12.2024.1.12.0055;04/12/2016 00:00;Direito do Trabalho;;Fulano(a) 354;302720;0;524745.43;;;13/12/2016 21:43;Reclamatória Trabalhista;Mesa Administração 01;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;;;;;;;;1054.0;;10/02/2022 13:25
0012345-12.2024.1.12.0056;09/12/2014 00:00;Direito do Trabalho;;Fulano(a) 1346;301340;0;470000.0;;;13/11/2014 14:33;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;13/11/2014 00:00;;;;;;;622.0;;13/12/2021 08:54
0012345-12.2024.1.12.0057;;;;Fulano(a) 1716;347394;0;0.0;;;28/01/2019 11:53;;;;;;UF;;;;;;;;;;;;1698.0;;28/01/2019 11:53
0012345-12.2024.1.12.0058;10/11/2017 00:00;Direito do Trabalho;;Fulano(a) 141;301340;0;40000.0;;;19/04/2017 10:53;Reclamatória Trabalhista;Mesa Administração 02;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;19/04/2017 00:00;TRABALHISTA - APAE DE IPATINGA;;;;;;1158.0;;20/01/2022 11:09
0012345-12.2024.1.12.0059;25/01/2016 00:00;Direito do Trabalho;;Fulano(a) 648;301340;0;351815.0;;;17/12/2015 09:45;Reclamatória Trabalhista;Mesa Administração 01;Procedência Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;17/12/2015 00:00;Reclamatória Trabalhista;;;;;;856.0;;
0012345-12.2024.1.12.0060;01/03/2019 00:00;Direito Previdenciário;;Fulano(a) 534;301340;0;23000.0;;;25/07/2018 15:02;Auxílio Doença;Arquivo Morto;Procedência Parcial Provável;Auxílio Doença;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;Arquivado;25/07/2018 00:00;AUXILIO DOENÇA;;;;;;1565.0;;13/12/2021 08:53
0012345-12.2024.1.12.0061;11/05/2021 00:00;Direito do Trabalho;;Fulano(a) 1517;301340;0;1520488.29;;;05/11/2020 10:02;Reclamatória Trabalhista;Mesa Recepção;Procedência Parcial Provável;Verbas Trabalhistas Diversas;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Conciliação;05/11/2020 00:00;TRABALHISTA USIMINAS - VERBAS DIVERSAS;;;;;;2327.0;;08/02/2022 17:56
0012345-12.2024.1.12.0062;14/04/2015 00:00;Direito do Trabalho;;Fulano(a) 737;301340;0;887204.92;;;05/02/2015 14:14;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;05/02/2015 00:00;;;;;;;659.0;;05/12/2017 11:10
0012345-12.2024.1.12.0063;;Direito Previdenciário;;Fulano(a) 905;301340;0;0.0;;;05/05/2017 18:20;Aposentadoria Especial;Arquivo Morto;Procedência Provável;Aposentadoria Especial;Instituto Nacional de Seguro Social;MG;Belo Oriente;Requerente;Administrativo;Arquivado;05/05/2017 00:00;APOSENTADORIA ESPECIAL;;;;;;1178.0;;21/12/2017 10:30
0012345-12.2024.1.12.0064;;Direito Previdenciário;;Fulano(a) 585;301340;0;0.0;;;07/05/2020 09:25;Ação Previdenciaria;;Procedência Provável;Aposentadoria por Tempo de Contrib. ao Deficiente;;;;Autor;Justiça Federal;;07/05/2020 00:00;APOSENTADORIA AO PORTADOR DE DEFICIÊNCIA;;;;;;2191.0;;13/12/2021 09:53
0012345-12.2024.1.12.0065;03/09/2019 00:00;Direito Família;;Fulano(a) 621;559945;0;0.0;;;05/09/2019 15:45;Partilha;Mesa Administração 01;Procedência Parcial Provável;Carta precatória;vara cível;MG;Carangola;;;Instrução;;;;;;;;1978.0;;04/11/2019 18:26
0012345-12.2024.1.12.0066;;;;Fulano(a) 821;347394;0;0.0;;;09/02/2017 11:16;;;;;;UF;;;;;;;;;;;;1090.0;;09/02/2017 11:33
0012345-12.2024.1.12.0067;;;;Fulano(a) 682;347394;0;0.0;;;28/06/2017 16:44;;;;;;UF;;;;;;;;;;;;1210.0;;28/06/2017 16:44
0012345-12.2024.1.12.0068;;;;Fulano(a) 597;301340;0;0.0;;;21/01/2015 17:28;;;;;;;;;;;;;;;;;;648.0;;
0012345-12.2024.1.12.0068;;;;Fulano(a) 597;301340;0;0.0;;;21/01/2015 17:28;;;;;;;;;;;;;;;;;;648.0;;
0012345-12.2024.1.12.0069;05/10/2015 00:00;Direito Cível;;Fulano(a) 737;302720;0;15000.0;;;13/10/2015 14:55;Indenização;Mesa Administração 01;Improcedência Provável;Indenização;Turma Recursal;MG;Ipatinga;Recorrido;Justiça Estadual;Instrução;;;;;;;;812.0;;
0012345-12.2024.1.12.0070;18/06/2013 00:00;Direito Cível;;Fulano(a) 862;301340;0;338745.0;;;02/12/2013 19:13;Anulação de Negócio Jurídico;;Improcedência Provável;Anulação de Negócio Jurídico;vara cível;MG;Ipatinga;Réu;Justiça Estadual;Conciliação;02/12/2013 00:00;Preliminar de Ilegitimidade e/ou Improcedência por ter adquirido o imóvel de boa-fé;;;;;;358.0;;03/12/2020 13:11
0012345-12.2024.1.12.0071;;;;Fulano(a) 1219;559945;0;0.0;;;10/06/2021 13:50;;;;;;UF;;;;;;;;;;;;2541.0;;10/06/2021 13:50
0012345-12.2024.1.12.0072;;;;Fulano(a) 1146;347394;0;0.0;;;22/07/2019 14:28;;;;;;UF;;;;;;;;;;;;1902.0;;22/07/2019 14:28
